Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
sessions,FetchUUIDFromToken,0.360,R,uuid,,,,
accounts,FetchUsernameFromUUID,0.360,R,userName,,,,
accounts,FetchUUIDFromUsername,0.361,R,uuid,,,,
accounts,FetchDiscordIdByUsername,0.361,R,discordId,,,,
accounts,FetchUUIDFromUsername,0.362,R,uuid,,,,
accounts,FetchGoogleIdByUsername,0.362,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.363,R,slot,,,,
sessions,FetchUUIDFromToken,0.730,R,uuid,,,,
activeClientSessions,IsActiveSession,0.731,R,id,,,,
systemSaveData,ReadSystemSaveData,0.732,R,data,,,,
sessions,FetchUUIDFromToken,3.794,R,uuid,,,,
activeClientSessions,UpdateActiveSession,3.795,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,3.796,R,data,,,,
sessions,FetchUUIDFromToken,26.131,R,uuid,,,,
activeClientSessions,IsActiveSession,26.132,R,id,,,,
sessions,FetchUUIDFromToken,32.278,R,uuid,,,,
activeClientSessions,IsActiveSession,33.896,R,id,,,,
accounts,FetchTrainerIds,33.896,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,33.897,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,33.898,R,data,,,,
accounts,UpdateAccountLastActivity,33.900,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,33.904,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,33.905,W,lastActivity,,,,
accountStats,UpdateAccountStats,33.906,W,stats,,,,
systemSaveData,StoreSystemSaveData,33.924,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,35.943,R,uuid,,,,
accounts,FetchUsernameFromUUID,35.943,R,userName,,,,
accounts,FetchUUIDFromUsername,35.944,R,uuid,,,,
accounts,FetchDiscordIdByUsername,35.944,R,discordId,,,,
accounts,FetchUUIDFromUsername,35.945,R,uuid,,,,
accounts,FetchGoogleIdByUsername,35.945,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,35.946,R,slot,,,,
sessions,FetchUUIDFromToken,36.310,R,uuid,,,,
activeClientSessions,IsActiveSession,36.310,R,id,,,,
systemSaveData,ReadSystemSaveData,36.311,R,data,,,,
sessions,FetchUUIDFromToken,37.332,R,uuid,,,,
activeClientSessions,UpdateActiveSession,37.333,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,37.334,R,data,,,,
sessions,FetchUUIDFromToken,57.201,R,uuid,,,,
sessions,FetchUUIDFromToken,57.202,R,uuid,,,,
sessions,RemoveSessionFromToken,57.202,W,token,,,,
