Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.397,R,uuid,,,,
Info,,0.397,,,,,,
accounts,FetchUsernameFromUUID,0.398,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.399,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.400,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.400,R,slot,,,,
sessions,FetchUUIDFromToken,5.877,R,uuid,,,,
activeClientSessions,IsActiveSession,5.878,R,id,,,,
activeClientSessions,UpdateActiveSession,5.880,W,uuid,clientSessionId,,,
update system,,5.880,,,,,,
accountStats,RetrievePlaytime,6.455,R,playtime,,,,
accountStats,UpdateAccountStats,6.457,W,stats,,,,
systemSaveData,StoreSystemSaveData,6.465,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,72.402,R,uuid,,,,
activeClientSessions,UpdateActiveSession,72.403,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,72.403,R,data,,,,
sessions,FetchUUIDFromToken,72.405,R,uuid,,,,
activeClientSessions,UpdateActiveSession,72.405,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,72.406,R,data,,,,
sessions,FetchUUIDFromToken,72.438,R,uuid,,,,
activeClientSessions,UpdateActiveSession,72.439,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,72.440,R,data,,,,
sessions,FetchUUIDFromToken,72.575,R,uuid,,,,
sessions,FetchUUIDFromToken,72.576,R,uuid,,,,
activeClientSessions,UpdateActiveSession,72.576,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,72.576,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,72.577,R,data,,,,
sessionSaveData,ReadSessionSaveData,72.577,R,data,,,,
sessions,FetchUUIDFromToken,75.300,R,uuid,,,,
updateAll,,75.300,,,,,,
activeClientSessions,IsActiveSession,75.900,R,id,,,,
accounts,FetchTrainerIds,75.901,R,trainerID,secretID,,,
accounts,UpdateTrainerIds,75.902,W,trainerID,secretID,,,
accountStats,RetrievePlaytime,75.903,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,75.903,R,data,,,,
accounts,UpdateAccountLastActivity,75.905,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,75.909,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,75.909,W,lastActivity,,,,
accountStats,UpdateAccountStats,75.911,W,stats,,,,
systemSaveData,StoreSystemSaveData,75.920,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,98.568,R,uuid,,,,
activeClientSessions,IsActiveSession,98.569,R,id,,,,
verify system,,98.569,,,,,,
sessions,FetchUUIDFromToken,121.805,R,uuid,,,,
activeClientSessions,IsActiveSession,121.806,R,id,,,,
verify system,,121.806,,,,,,
sessions,FetchUUIDFromToken,150.763,R,uuid,,,,
activeClientSessions,IsActiveSession,150.764,R,id,,,,
verify system,,150.764,,,,,,
sessions,FetchUUIDFromToken,172.097,R,uuid,,,,
activeClientSessions,IsActiveSession,172.098,R,id,,,,
verify system,,172.098,,,,,,
sessions,FetchUUIDFromToken,208.288,R,uuid,,,,
updateAll,,208.288,,,,,,
activeClientSessions,IsActiveSession,208.342,R,id,,,,
accounts,FetchTrainerIds,208.343,R,trainerID,secretID,,,
