Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.370,R,uuid,,,,
Info,,0.370,,,,,,
accounts,FetchUsernameFromUUID,0.371,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.372,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.373,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.375,R,slot,,,,
sessions,FetchUUIDFromToken,0.751,R,uuid,,,,
activeClientSessions,IsActiveSession,0.752,R,id,,,,
get system,,0.752,,,,,,
activeClientSessions,UpdateActiveSession,0.753,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,0.754,R,data,,,,
sessions,FetchUUIDFromToken,10.167,R,uuid,,,,
activeClientSessions,UpdateActiveSession,10.168,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,10.169,R,data,,,,
sessions,FetchUUIDFromToken,23.436,R,uuid,,,,
activeClientSessions,UpdateActiveSession,23.436,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,23.437,R,data,,,,
sessions,FetchUUIDFromToken,23.615,R,uuid,,,,
sessions,FetchUUIDFromToken,23.616,R,uuid,,,,
sessions,FetchUUIDFromToken,23.616,R,uuid,,,,
activeClientSessions,UpdateActiveSession,23.617,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,23.617,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,23.617,R,data,,,,
sessionSaveData,ReadSessionSaveData,23.618,R,data,,,,
activeClientSessions,UpdateActiveSession,23.618,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,23.618,R,data,,,,
sessions,FetchUUIDFromToken,24.818,R,uuid,,,,
updateAll,,24.818,,,,,,
activeClientSessions,IsActiveSession,25.390,R,id,,,,
accounts,FetchTrainerIds,25.391,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,25.391,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,25.392,R,data,,,,
accounts,UpdateAccountLastActivity,25.393,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,25.397,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,25.398,W,lastActivity,,,,
accountStats,UpdateAccountStats,25.400,W,stats,,,,
systemSaveData,StoreSystemSaveData,25.409,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,56.305,R,uuid,,,,
activeClientSessions,IsActiveSession,56.306,R,id,,,,
verify system,,56.306,,,,,,
sessions,FetchUUIDFromToken,63.255,R,uuid,,,,
updateAll,,63.256,,,,,,
activeClientSessions,IsActiveSession,63.300,R,id,,,,
accounts,FetchTrainerIds,63.301,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,63.301,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,63.302,R,data,,,,
accounts,UpdateAccountLastActivity,63.304,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,63.308,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,63.308,W,lastActivity,,,,
accountStats,UpdateAccountStats,63.310,W,stats,,,,
systemSaveData,StoreSystemSaveData,63.318,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,65.276,R,uuid,,,,
Info,,65.276,,,,,,
accounts,FetchUsernameFromUUID,65.277,R,userName,,,,
accounts,FetchDiscordIdByUsername,65.278,R,discordId,,,,
accounts,FetchGoogleIdByUsername,65.278,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,65.279,R,slot,,,,
sessions,FetchUUIDFromToken,65.662,R,uuid,,,,
activeClientSessions,IsActiveSession,65.663,R,id,,,,
get system,,65.663,,,,,,
systemSaveData,ReadSystemSaveData,65.663,R,data,,,,
sessions,FetchUUIDFromToken,66.867,R,uuid,,,,
activeClientSessions,UpdateActiveSession,66.868,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,66.868,R,data,,,,
sessions,RemoveSessionFromToken,79.838,W,token,,,,
logout,,79.838,,,,,,
