Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.201,R,uuid,,,,
Info,,0.201,,,,,,
accounts,FetchUsernameFromUUID,0.201,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.202,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.203,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.204,R,slot,,,,
sessions,FetchUUIDFromToken,6.513,R,uuid,,,,
activeClientSessions,IsActiveSession,6.514,R,id,,,,
activeClientSessions,UpdateActiveSession,6.517,W,uuid,clientSessionId,,,
update system,,6.517,,,,,,
accountStats,RetrievePlaytime,6.879,R,playtime,,,,
accountStats,UpdateAccountStats,6.881,W,stats,,,,
systemSaveData,StoreSystemSaveData,6.915,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,62.954,R,uuid,,,,
Info,,62.954,,,,,,
accounts,FetchUsernameFromUUID,62.955,R,userName,,,,
accounts,FetchDiscordIdByUsername,62.956,R,discordId,,,,
accounts,FetchGoogleIdByUsername,62.957,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,62.957,R,slot,,,,
sessions,FetchUUIDFromToken,63.141,R,uuid,,,,
activeClientSessions,IsActiveSession,63.141,R,id,,,,
get system,,63.141,,,,,,
activeClientSessions,UpdateActiveSession,63.143,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,63.144,R,data,,,,
sessions,FetchUUIDFromToken,129.437,R,uuid,,,,
activeClientSessions,UpdateActiveSession,129.439,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,129.439,R,uuid,,,,
sessions,FetchUUIDFromToken,129.439,R,uuid,,,,
sessions,FetchUUIDFromToken,129.440,R,uuid,,,,
sessions,FetchUUIDFromToken,129.440,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,129.440,R,data,,,,
activeClientSessions,UpdateActiveSession,129.440,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,129.440,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,129.440,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,129.441,R,data,,,,
activeClientSessions,UpdateActiveSession,129.441,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,129.441,R,data,,,,
sessionSaveData,ReadSessionSaveData,129.442,R,data,,,,
sessionSaveData,ReadSessionSaveData,129.442,R,data,,,,
sessions,FetchUUIDFromToken,132.892,R,uuid,,,,
updateAll,,132.892,,,,,,
activeClientSessions,IsActiveSession,133.250,R,id,,,,
accounts,FetchTrainerIds,133.250,R,trainerID,secretID,,,
accounts,UpdateTrainerIds,133.253,W,trainerID,secretID,,,
accountStats,RetrievePlaytime,133.254,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,133.254,R,data,,,,
accounts,UpdateAccountLastActivity,133.256,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,133.263,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,133.264,W,lastActivity,,,,
accountStats,UpdateAccountStats,133.265,W,stats,,,,
systemSaveData,StoreSystemSaveData,133.281,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,208.201,R,uuid,,,,
activeClientSessions,IsActiveSession,208.202,R,id,,,,
verify system,,208.202,,,,,,
sessions,FetchUUIDFromToken,228.842,R,uuid,,,,
activeClientSessions,IsActiveSession,228.843,R,id,,,,
verify system,,228.843,,,,,,
sessions,FetchUUIDFromToken,295.563,R,uuid,,,,
activeClientSessions,IsActiveSession,295.563,R,id,,,,
verify system,,295.563,,,,,,
sessions,FetchUUIDFromToken,314.292,R,uuid,,,,
activeClientSessions,IsActiveSession,314.293,R,id,,,,
verify system,,314.293,,,,,,
sessions,FetchUUIDFromToken,392.817,R,uuid,,,,
updateAll,,392.817,,,,,,
activeClientSessions,IsActiveSession,393.178,R,id,,,,
accounts,FetchTrainerIds,393.179,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,393.179,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,393.180,R,data,,,,
accounts,UpdateAccountLastActivity,393.183,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,393.194,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,393.195,W,lastActivity,,,,
accountStats,UpdateAccountStats,393.197,W,stats,,,,
systemSaveData,StoreSystemSaveData,393.213,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,493.000,R,uuid,,,,
activeClientSessions,IsActiveSession,493.001,R,id,,,,
verify system,,493.001,,,,,,
sessions,FetchUUIDFromToken,551.255,R,uuid,,,,
activeClientSessions,IsActiveSession,551.256,R,id,,,,
verify system,,551.256,,,,,,
sessions,FetchUUIDFromToken,678.944,R,uuid,,,,
activeClientSessions,UpdateActiveSession,678.944,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,678.945,R,data,,,,
newclear session,,678.947,,,,,,
sessions,FetchUUIDFromToken,682.172,R,uuid,,,,
updateAll,,682.172,,,,,,
activeClientSessions,IsActiveSession,682.889,R,id,,,,
accounts,FetchTrainerIds,682.889,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,682.890,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,682.891,R,data,,,,
accounts,UpdateAccountLastActivity,682.893,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,682.903,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,682.904,W,lastActivity,,,,
accountStats,UpdateAccountStats,682.905,W,stats,,,,
systemSaveData,StoreSystemSaveData,682.919,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,683.102,R,uuid,,,,
activeClientSessions,UpdateActiveSession,683.102,W,uuid,clientSessionId,,,
clear session,,683.103,,,,,,
accounts,UpdateAccountLastActivity,683.106,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,683.108,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,683.290,R,uuid,,,,
Info,,683.290,,,,,,
accounts,FetchUsernameFromUUID,683.290,R,userName,,,,
accounts,FetchDiscordIdByUsername,683.291,R,discordId,,,,
accounts,FetchGoogleIdByUsername,683.292,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,683.293,R,slot,,,,
sessions,FetchUUIDFromToken,702.835,R,uuid,,,,
activeClientSessions,UpdateActiveSession,702.836,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,702.836,R,uuid,,,,
sessions,FetchUUIDFromToken,702.837,R,uuid,,,,
sessions,FetchUUIDFromToken,702.837,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,702.837,R,data,,,,
activeClientSessions,UpdateActiveSession,702.837,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,702.838,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,702.838,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,702.838,R,data,,,,
sessionSaveData,ReadSessionSaveData,702.838,R,data,,,,
sessions,FetchUUIDFromToken,702.839,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,702.839,R,data,,,,
activeClientSessions,UpdateActiveSession,702.840,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,702.840,R,data,,,,
sessions,FetchUUIDFromToken,704.331,R,uuid,,,,
updateAll,,704.331,,,,,,
activeClientSessions,IsActiveSession,705.052,R,id,,,,
accounts,FetchTrainerIds,705.053,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,705.054,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,705.054,R,data,,,,
accounts,UpdateAccountLastActivity,705.056,W,lastActivity,,,,
