Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
login,,0.001,,,,,,
sessions,FetchUUIDFromToken,0.208,R,uuid,,,,
Info,,0.208,,,,,,
accounts,FetchUsernameFromUUID,0.209,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.211,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.212,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.214,R,slot,,,,
sessions,FetchUUIDFromToken,0.416,R,uuid,,,,
activeClientSessions,IsActiveSession,0.417,R,id,,,,
get system,,0.417,,,,,,
activeClientSessions,UpdateActiveSession,0.421,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,0.422,R,data,,,,
sessions,FetchUUIDFromToken,11.159,R,uuid,,,,
activeClientSessions,UpdateActiveSession,11.160,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,11.162,R,data,,,,
sessions,FetchUUIDFromToken,11.163,R,uuid,,,,
activeClientSessions,UpdateActiveSession,11.164,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,11.165,R,data,,,,
sessions,FetchUUIDFromToken,11.169,R,uuid,,,,
activeClientSessions,UpdateActiveSession,11.170,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,11.170,R,uuid,,,,
activeClientSessions,UpdateActiveSession,11.170,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,11.171,R,data,,,,
sessionSaveData,ReadSessionSaveData,11.171,R,data,,,,
sessions,FetchUUIDFromToken,11.171,R,uuid,,,,
activeClientSessions,UpdateActiveSession,11.172,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,11.172,R,data,,,,
sessions,FetchUUIDFromToken,67.428,R,uuid,,,,
activeClientSessions,UpdateActiveSession,67.428,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,67.429,R,data,,,,
sessions,FetchUUIDFromToken,67.434,R,uuid,,,,
activeClientSessions,UpdateActiveSession,67.435,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,67.435,R,uuid,,,,
activeClientSessions,UpdateActiveSession,67.435,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,67.435,R,data,,,,
sessionSaveData,ReadSessionSaveData,67.436,R,data,,,,
sessions,FetchUUIDFromToken,67.439,R,uuid,,,,
activeClientSessions,UpdateActiveSession,67.440,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,67.440,R,data,,,,
sessions,FetchUUIDFromToken,67.441,R,uuid,,,,
activeClientSessions,UpdateActiveSession,67.441,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,67.442,R,data,,,,
sessions,FetchUUIDFromToken,69.611,R,uuid,,,,
updateAll,,69.611,,,,,,
activeClientSessions,IsActiveSession,70.016,R,id,,,,
accounts,FetchTrainerIds,70.017,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,70.018,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,70.019,R,data,,,,
accounts,UpdateAccountLastActivity,70.025,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,70.045,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,70.046,W,lastActivity,,,,
accountStats,UpdateAccountStats,70.048,W,stats,,,,
systemSaveData,StoreSystemSaveData,70.123,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,110.609,R,uuid,,,,
updateAll,,110.609,,,,,,
activeClientSessions,IsActiveSession,111.004,R,id,,,,
accounts,FetchTrainerIds,111.005,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,111.005,R,playtime,,,,
