Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
sessions,FetchUUIDFromToken,0.002,R,uuid,,,,
Info,,0.002,,,,,,
accounts,FetchUsernameFromUUID,0.003,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.005,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.006,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.008,R,slot,,,,
sessions,FetchUUIDFromToken,0.251,R,uuid,,,,
activeClientSessions,IsActiveSession,0.252,R,id,,,,
get system,,0.252,,,,,,
activeClientSessions,UpdateActiveSession,0.255,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,0.257,R,data,,,,
sessions,FetchUUIDFromToken,0.706,R,uuid,,,,
activeClientSessions,UpdateActiveSession,0.706,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,0.708,R,data,,,,
sessions,FetchUUIDFromToken,69.923,R,uuid,,,,
activeClientSessions,IsActiveSession,69.924,R,id,,,,
verify system,,69.924,,,,,,
sessions,FetchUUIDFromToken,173.098,R,uuid,,,,
activeClientSessions,IsActiveSession,173.099,R,id,,,,
verify system,,173.099,,,,,,
sessions,FetchUUIDFromToken,239.437,R,uuid,,,,
activeClientSessions,IsActiveSession,239.438,R,id,,,,
verify system,,239.438,,,,,,
sessions,FetchUUIDFromToken,367.320,R,uuid,,,,
Info,,367.321,,,,,,
accounts,FetchUsernameFromUUID,367.321,R,userName,,,,
accounts,FetchDiscordIdByUsername,367.322,R,discordId,,,,
accounts,FetchGoogleIdByUsername,367.323,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,367.324,R,slot,,,,
sessions,FetchUUIDFromToken,367.559,R,uuid,,,,
activeClientSessions,IsActiveSession,367.560,R,id,,,,
get system,,367.560,,,,,,
activeClientSessions,UpdateActiveSession,367.561,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,367.562,R,data,,,,
sessions,FetchUUIDFromToken,502.786,R,uuid,,,,
activeClientSessions,IsActiveSession,502.787,R,id,,,,
verify system,,502.787,,,,,,
sessions,FetchUUIDFromToken,568.466,R,uuid,,,,
updateAll,,568.466,,,,,,
activeClientSessions,IsActiveSession,569.682,R,id,,,,
accounts,FetchTrainerIds,569.683,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,569.684,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,569.685,R,data,,,,
accounts,UpdateAccountLastActivity,569.689,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,569.705,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,569.706,W,lastActivity,,,,
accountStats,UpdateAccountStats,569.709,W,stats,,,,
systemSaveData,StoreSystemSaveData,569.778,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,647.647,R,uuid,,,,
activeClientSessions,IsActiveSession,647.648,R,id,,,,
verify system,,647.648,,,,,,
sessions,FetchUUIDFromToken,709.551,R,uuid,,,,
activeClientSessions,IsActiveSession,709.551,R,id,,,,
verify system,,709.551,,,,,,
sessions,FetchUUIDFromToken,738.082,R,uuid,,,,
activeClientSessions,IsActiveSession,738.083,R,id,,,,
verify system,,738.083,,,,,,
sessions,FetchUUIDFromToken,785.295,R,uuid,,,,
activeClientSessions,IsActiveSession,785.296,R,id,,,,
verify system,,785.296,,,,,,
sessions,FetchUUIDFromToken,877.136,R,uuid,,,,
updateAll,,877.136,,,,,,
activeClientSessions,IsActiveSession,878.419,R,id,,,,
accounts,FetchTrainerIds,878.420,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,878.420,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,878.421,R,data,,,,
accounts,UpdateAccountLastActivity,878.425,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,878.443,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,878.444,W,lastActivity,,,,
accountStats,UpdateAccountStats,878.446,W,stats,,,,
systemSaveData,StoreSystemSaveData,878.474,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,916.688,R,uuid,,,,
activeClientSessions,IsActiveSession,916.689,R,id,,,,
verify system,,916.689,,,,,,
sessions,FetchUUIDFromToken,969.499,R,uuid,,,,
activeClientSessions,IsActiveSession,969.499,R,id,,,,
verify system,,969.499,,,,,,
sessions,FetchUUIDFromToken,1018.437,R,uuid,,,,
activeClientSessions,IsActiveSession,1018.437,R,id,,,,
verify system,,1018.437,,,,,,
sessions,FetchUUIDFromToken,1073.281,R,uuid,,,,
activeClientSessions,IsActiveSession,1073.282,R,id,,,,
verify system,,1073.282,,,,,,
sessions,FetchUUIDFromToken,1119.480,R,uuid,,,,
updateAll,,1119.480,,,,,,
activeClientSessions,IsActiveSession,1120.441,R,id,,,,
accounts,FetchTrainerIds,1120.442,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1120.443,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1120.443,R,data,,,,
accounts,UpdateAccountLastActivity,1120.447,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1120.463,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1120.463,W,lastActivity,,,,
accountStats,UpdateAccountStats,1120.465,W,stats,,,,
systemSaveData,StoreSystemSaveData,1120.485,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1143.792,R,uuid,,,,
activeClientSessions,IsActiveSession,1143.793,R,id,,,,
verify system,,1143.793,,,,,,
sessions,FetchUUIDFromToken,1282.890,R,uuid,,,,
Info,,1282.890,,,,,,
accounts,FetchUsernameFromUUID,1282.891,R,userName,,,,
accounts,FetchDiscordIdByUsername,1282.892,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1282.893,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1282.893,R,slot,,,,
sessions,FetchUUIDFromToken,1283.133,R,uuid,,,,
activeClientSessions,IsActiveSession,1283.133,R,id,,,,
get system,,1283.133,,,,,,
activeClientSessions,UpdateActiveSession,1283.135,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,1283.136,R,data,,,,
sessions,FetchUUIDFromToken,1320.873,R,uuid,,,,
activeClientSessions,IsActiveSession,1320.874,R,id,,,,
verify system,,1320.875,,,,,,
sessions,FetchUUIDFromToken,1359.997,R,uuid,,,,
activeClientSessions,IsActiveSession,1359.998,R,id,,,,
verify system,,1359.998,,,,,,
sessions,FetchUUIDFromToken,1394.456,R,uuid,,,,
activeClientSessions,IsActiveSession,1394.457,R,id,,,,
verify system,,1394.457,,,,,,
sessions,FetchUUIDFromToken,2229.355,R,uuid,,,,
updateAll,,2229.355,,,,,,
activeClientSessions,IsActiveSession,2230.519,R,id,,,,
accounts,FetchTrainerIds,2230.519,R,trainerID,secretID,,,
