Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.001,R,key,salt,,,
accounts,AddAccountSession,0.494,R,uuid,token,expire,,
sessions,AddAccountSession,0.494,W,uuid,token,expire,,
accounts,AddAccountSession,0.496,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,0.869,R,uuid,,,,
accounts,FetchUsernameFromUUID,0.870,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.871,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.871,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.872,R,slot,,,,
sessions,FetchUUIDFromToken,1.232,R,uuid,,,,
systemSaveData,ReadSystemSaveData,1.234,R,data,,,,
accounts,FetchPlayerCount,5.701,R,lastActivity,,,,
accounts,FetchBattleCount,5.709,R,banned,,,,
accountStats,FetchBattleCount,5.709,R,battleCount,,,,
accounts,FetchClassicSessionCount,5.718,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,5.718,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,6.739,R,uuid,,,,
activeClientSessions,UpdateActiveSession,6.739,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,6.740,R,data,,,,
sessions,FetchUUIDFromToken,21.170,R,uuid,,,,
sessions,FetchUUIDFromToken,21.170,R,uuid,,,,
activeClientSessions,UpdateActiveSession,21.171,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,21.172,R,data,,,,
activeClientSessions,UpdateActiveSession,21.173,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,21.173,R,data,,,,
sessions,FetchUUIDFromToken,21.345,R,uuid,,,,
activeClientSessions,UpdateActiveSession,21.346,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,21.346,R,data,,,,
sessions,FetchUUIDFromToken,21.347,R,uuid,,,,
activeClientSessions,UpdateActiveSession,21.348,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,21.348,R,data,,,,
sessions,FetchUUIDFromToken,23.958,R,uuid,,,,
accounts,FetchUsernameFromUUID,23.959,R,userName,,,,
accounts,FetchDiscordIdByUsername,23.960,R,discordId,,,,
accounts,FetchGoogleIdByUsername,23.960,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,23.961,R,slot,,,,
sessions,FetchUUIDFromToken,24.328,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.329,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,24.330,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,25.159,R,uuid,,,,
accounts,FetchTrainerIds,25.903,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,25.904,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,25.904,R,data,,,,
accounts,UpdateAccountLastActivity,25.906,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,25.911,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,25.911,W,lastActivity,,,,
accountStats,UpdateAccountStats,25.914,W,stats,,,,
systemSaveData,StoreSystemSaveData,25.919,W,uuid,data,timeStamp,,
accounts,FetchPlayerCount,35.708,R,lastActivity,,,,
accounts,FetchBattleCount,35.716,R,banned,,,,
accountStats,FetchBattleCount,35.716,R,battleCount,,,,
accounts,FetchClassicSessionCount,35.725,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,35.725,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,65.709,R,lastActivity,,,,
accounts,FetchBattleCount,65.717,R,banned,,,,
accountStats,FetchBattleCount,65.717,R,battleCount,,,,
accounts,FetchClassicSessionCount,65.726,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,65.726,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,69.079,R,uuid,,,,
sessions,FetchUUIDFromToken,79.075,R,uuid,,,,
accounts,FetchTrainerIds,79.689,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,79.690,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,79.691,R,data,,,,
accounts,UpdateAccountLastActivity,79.693,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,79.697,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,79.698,W,lastActivity,,,,
accountStats,UpdateAccountStats,79.700,W,stats,,,,
systemSaveData,StoreSystemSaveData,79.705,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,81.556,R,uuid,,,,
accounts,FetchUsernameFromUUID,81.556,R,userName,,,,
accounts,FetchDiscordIdByUsername,81.557,R,discordId,,,,
accounts,FetchGoogleIdByUsername,81.557,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,81.558,R,slot,,,,
sessions,FetchUUIDFromToken,81.920,R,uuid,,,,
systemSaveData,ReadSystemSaveData,81.922,R,data,,,,
sessions,FetchUUIDFromToken,82.979,R,uuid,,,,
activeClientSessions,UpdateActiveSession,82.979,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,82.980,R,data,,,,
sessions,RemoveSessionFromToken,85.896,W,token,,,,
