Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.002,R,key,salt,,,
accounts,AddAccountSession,0.649,R,uuid,token,expire,,
sessions,AddAccountSession,0.649,W,uuid,token,expire,,
accounts,AddAccountSession,0.652,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,1.015,R,uuid,,,,
accounts,FetchUsernameFromUUID,1.016,R,userName,,,,
accounts,FetchDiscordIdByUsername,1.016,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1.017,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1.017,R,slot,,,,
sessions,FetchUUIDFromToken,1.385,R,uuid,,,,
systemSaveData,ReadSystemSaveData,1.386,R,data,,,,
sessions,FetchUUIDFromToken,10.269,R,uuid,,,,
activeClientSessions,UpdateActiveSession,10.270,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,10.270,R,data,,,,
accounts,FetchPlayerCount,14.572,R,lastActivity,,,,
accounts,FetchBattleCount,14.580,R,banned,,,,
accountStats,FetchBattleCount,14.580,R,battleCount,,,,
accounts,FetchClassicSessionCount,14.589,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,14.589,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,26.530,R,uuid,,,,
activeClientSessions,UpdateActiveSession,26.531,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,26.532,R,data,,,,
sessions,FetchUUIDFromToken,26.708,R,uuid,,,,
activeClientSessions,UpdateActiveSession,26.708,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,26.709,R,data,,,,
sessions,FetchUUIDFromToken,26.710,R,uuid,,,,
activeClientSessions,UpdateActiveSession,26.710,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,26.711,R,data,,,,
sessions,FetchUUIDFromToken,26.714,R,uuid,,,,
activeClientSessions,UpdateActiveSession,26.715,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,26.715,R,data,,,,
sessions,FetchUUIDFromToken,28.898,R,uuid,,,,
accounts,FetchUsernameFromUUID,28.898,R,userName,,,,
accounts,FetchDiscordIdByUsername,28.899,R,discordId,,,,
accounts,FetchGoogleIdByUsername,28.899,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,28.900,R,slot,,,,
sessions,FetchUUIDFromToken,29.287,R,uuid,,,,
activeClientSessions,UpdateActiveSession,29.288,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,29.289,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,29.955,R,uuid,,,,
accounts,FetchTrainerIds,30.014,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,30.014,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,30.015,R,data,,,,
accounts,UpdateAccountLastActivity,30.016,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,30.021,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,30.022,W,lastActivity,,,,
accountStats,UpdateAccountStats,30.024,W,stats,,,,
systemSaveData,StoreSystemSaveData,30.028,W,uuid,data,timeStamp,,
accounts,FetchPlayerCount,44.574,R,lastActivity,,,,
accounts,FetchBattleCount,44.582,R,banned,,,,
accountStats,FetchBattleCount,44.582,R,battleCount,,,,
accounts,FetchClassicSessionCount,44.590,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,44.590,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,55.850,R,uuid,,,,
accounts,FetchPlayerCount,74.576,R,lastActivity,,,,
accounts,FetchBattleCount,74.584,R,banned,,,,
accountStats,FetchBattleCount,74.584,R,battleCount,,,,
accounts,FetchClassicSessionCount,74.593,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,74.593,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,79.323,R,uuid,,,,
sessions,FetchUUIDFromToken,101.335,R,uuid,,,,
accounts,FetchPlayerCount,104.572,R,lastActivity,,,,
accounts,FetchBattleCount,104.580,R,banned,,,,
accountStats,FetchBattleCount,104.580,R,battleCount,,,,
accounts,FetchClassicSessionCount,104.589,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,104.589,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,133.146,R,uuid,,,,
accounts,FetchPlayerCount,134.570,R,lastActivity,,,,
accounts,FetchBattleCount,134.579,R,banned,,,,
accountStats,FetchBattleCount,134.579,R,battleCount,,,,
accounts,FetchClassicSessionCount,134.588,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,134.588,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,164.572,R,lastActivity,,,,
accounts,FetchBattleCount,164.581,R,banned,,,,
accountStats,FetchBattleCount,164.581,R,battleCount,,,,
accounts,FetchClassicSessionCount,164.590,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,164.590,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,190.367,R,uuid,,,,
accounts,FetchTrainerIds,190.915,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,190.916,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,190.916,R,data,,,,
accounts,UpdateAccountLastActivity,190.919,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,190.926,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,190.927,W,lastActivity,,,,
accountStats,UpdateAccountStats,190.928,W,stats,,,,
systemSaveData,StoreSystemSaveData,190.939,W,uuid,data,timeStamp,,
accounts,FetchPlayerCount,194.571,R,lastActivity,,,,
accounts,FetchBattleCount,194.579,R,banned,,,,
accountStats,FetchBattleCount,194.579,R,battleCount,,,,
accounts,FetchClassicSessionCount,194.593,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,194.593,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,206.106,R,uuid,,,,
accounts,FetchTrainerIds,206.159,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,206.159,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,206.160,R,data,,,,
accounts,UpdateAccountLastActivity,206.162,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,206.165,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,206.166,W,lastActivity,,,,
accountStats,UpdateAccountStats,206.167,W,stats,,,,
systemSaveData,StoreSystemSaveData,206.179,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,208.068,R,uuid,,,,
accounts,FetchUsernameFromUUID,208.069,R,userName,,,,
accounts,FetchDiscordIdByUsername,208.069,R,discordId,,,,
accounts,FetchGoogleIdByUsername,208.070,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,208.071,R,slot,,,,
sessions,FetchUUIDFromToken,208.432,R,uuid,,,,
systemSaveData,ReadSystemSaveData,208.433,R,data,,,,
