Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.193,R,uuid,,,,
Info,,0.193,,,,,,
accounts,FetchUsernameFromUUID,0.193,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.194,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.195,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.196,R,slot,,,,
sessions,FetchUUIDFromToken,10.036,R,uuid,,,,
activeClientSessions,IsActiveSession,10.038,R,id,,,,
activeClientSessions,UpdateActiveSession,10.041,W,uuid,clientSessionId,,,
update system,,10.041,,,,,,
accountStats,RetrievePlaytime,10.401,R,playtime,,,,
accountStats,UpdateAccountStats,10.403,W,stats,,,,
systemSaveData,StoreSystemSaveData,10.423,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,152.952,R,uuid,,,,
sessions,FetchUUIDFromToken,152.952,R,uuid,,,,
sessions,FetchUUIDFromToken,152.952,R,uuid,,,,
sessions,FetchUUIDFromToken,152.952,R,uuid,,,,
activeClientSessions,UpdateActiveSession,152.953,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,152.953,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,152.953,R,data,,,,
sessionSaveData,ReadSessionSaveData,152.954,R,data,,,,
activeClientSessions,UpdateActiveSession,152.954,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,152.955,R,data,,,,
activeClientSessions,UpdateActiveSession,152.956,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,152.957,R,data,,,,
sessions,FetchUUIDFromToken,152.958,R,uuid,,,,
activeClientSessions,UpdateActiveSession,152.958,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,152.959,R,data,,,,
sessions,FetchUUIDFromToken,156.482,R,uuid,,,,
updateAll,,156.482,,,,,,
activeClientSessions,IsActiveSession,156.507,R,id,,,,
accounts,FetchTrainerIds,156.508,R,trainerID,secretID,,,
accounts,UpdateTrainerIds,156.510,W,trainerID,secretID,,,
accountStats,RetrievePlaytime,156.510,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,156.511,R,data,,,,
accounts,UpdateAccountLastActivity,156.512,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,156.519,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,156.520,W,lastActivity,,,,
accountStats,UpdateAccountStats,156.521,W,stats,,,,
