Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.002,R,key,salt,,,
accounts,AddAccountSession,0.660,R,uuid,token,expire,,
sessions,AddAccountSession,0.660,W,uuid,token,expire,,
accounts,AddAccountSession,0.662,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,1.030,R,uuid,,,,
accounts,FetchUsernameFromUUID,1.030,R,userName,,,,
accounts,FetchDiscordIdByUsername,1.031,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1.032,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1.033,R,slot,,,,
sessions,FetchUUIDFromToken,1.393,R,uuid,,,,
activeClientSessions,IsActiveSession,1.394,R,id,,,,
systemSaveData,ReadSystemSaveData,1.395,R,data,,,,
sessions,FetchUUIDFromToken,7.084,R,uuid,,,,
activeClientSessions,UpdateActiveSession,7.084,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,7.085,R,data,,,,
accounts,FetchPlayerCount,12.967,R,lastActivity,,,,
accounts,FetchBattleCount,12.976,R,banned,,,,
accountStats,FetchBattleCount,12.976,R,battleCount,,,,
accounts,FetchClassicSessionCount,12.985,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,12.985,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,21.106,R,uuid,,,,
activeClientSessions,UpdateActiveSession,21.106,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,21.107,R,data,,,,
sessions,FetchUUIDFromToken,21.108,R,uuid,,,,
activeClientSessions,UpdateActiveSession,21.109,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,21.110,R,data,,,,
sessions,FetchUUIDFromToken,21.111,R,uuid,,,,
sessions,FetchUUIDFromToken,21.112,R,uuid,,,,
activeClientSessions,UpdateActiveSession,21.112,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,21.113,R,data,,,,
activeClientSessions,UpdateActiveSession,21.113,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,21.114,R,data,,,,
sessions,FetchUUIDFromToken,24.488,R,uuid,,,,
accounts,FetchUsernameFromUUID,24.489,R,userName,,,,
accounts,FetchDiscordIdByUsername,24.490,R,discordId,,,,
accounts,FetchGoogleIdByUsername,24.490,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,24.491,R,slot,,,,
sessions,FetchUUIDFromToken,24.863,R,uuid,,,,
activeClientSessions,UpdateActiveSession,24.864,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,24.865,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,25.380,R,uuid,,,,
activeClientSessions,IsActiveSession,25.801,R,id,,,,
accounts,FetchTrainerIds,25.802,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,25.803,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,25.803,R,data,,,,
accounts,UpdateAccountLastActivity,25.805,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,25.810,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,25.811,W,lastActivity,,,,
accountStats,UpdateAccountStats,25.813,W,stats,,,,
systemSaveData,StoreSystemSaveData,25.818,W,uuid,data,timeStamp,,
accounts,FetchPlayerCount,42.979,R,lastActivity,,,,
accounts,FetchBattleCount,42.988,R,banned,,,,
accountStats,FetchBattleCount,42.988,R,battleCount,,,,
accounts,FetchClassicSessionCount,42.998,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,42.998,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,53.134,R,uuid,,,,
activeClientSessions,IsActiveSession,53.135,R,id,,,,
sessions,FetchUUIDFromToken,67.989,R,uuid,,,,
activeClientSessions,IsActiveSession,67.990,R,id,,,,
accounts,FetchPlayerCount,72.966,R,lastActivity,,,,
accounts,FetchBattleCount,72.975,R,banned,,,,
accountStats,FetchBattleCount,72.975,R,battleCount,,,,
accounts,FetchClassicSessionCount,72.983,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,72.983,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,91.825,R,uuid,,,,
activeClientSessions,IsActiveSession,91.825,R,id,,,,
accounts,FetchPlayerCount,102.976,R,lastActivity,,,,
accounts,FetchBattleCount,102.984,R,banned,,,,
accountStats,FetchBattleCount,102.984,R,battleCount,,,,
accounts,FetchClassicSessionCount,102.993,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,102.993,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,115.035,R,uuid,,,,
activeClientSessions,IsActiveSession,115.036,R,id,,,,
accounts,FetchPlayerCount,132.967,R,lastActivity,,,,
accounts,FetchBattleCount,132.977,R,banned,,,,
accountStats,FetchBattleCount,132.977,R,battleCount,,,,
accounts,FetchClassicSessionCount,132.986,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,132.986,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,162.980,R,lastActivity,,,,
accounts,FetchBattleCount,162.990,R,banned,,,,
accountStats,FetchBattleCount,162.990,R,battleCount,,,,
accounts,FetchClassicSessionCount,163.001,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,163.001,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,174.573,R,uuid,,,,
activeClientSessions,IsActiveSession,174.973,R,id,,,,
accounts,FetchTrainerIds,174.974,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,174.975,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,174.976,R,data,,,,
accounts,UpdateAccountLastActivity,174.978,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,174.985,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,174.986,W,lastActivity,,,,
accountStats,UpdateAccountStats,174.987,W,stats,,,,
systemSaveData,StoreSystemSaveData,174.996,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,182.985,R,uuid,,,,
activeClientSessions,IsActiveSession,183.066,R,id,,,,
accounts,FetchTrainerIds,183.067,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,183.068,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,183.069,R,data,,,,
accounts,UpdateAccountLastActivity,183.073,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,183.078,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,183.078,W,lastActivity,,,,
accountStats,UpdateAccountStats,183.079,W,stats,,,,
systemSaveData,StoreSystemSaveData,183.121,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,184.996,R,uuid,,,,
accounts,FetchUsernameFromUUID,184.999,R,userName,,,,
accounts,FetchDiscordIdByUsername,185.000,R,discordId,,,,
accounts,FetchGoogleIdByUsername,185.000,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,185.001,R,slot,,,,
sessions,FetchUUIDFromToken,185.365,R,uuid,,,,
activeClientSessions,IsActiveSession,185.365,R,id,,,,
systemSaveData,ReadSystemSaveData,185.367,R,data,,,,
sessions,FetchUUIDFromToken,186.431,R,uuid,,,,
activeClientSessions,UpdateActiveSession,186.432,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,186.433,R,data,,,,
sessions,RemoveSessionFromToken,189.162,W,token,,,,
