Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.002,R,key,salt,,,
accounts,AddAccountSession,0.719,R,uuid,token,expire,,
sessions,AddAccountSession,0.719,W,uuid,token,expire,,
accounts,AddAccountSession,0.721,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,1.089,R,uuid,,,,
accounts,FetchUsernameFromUUID,1.090,R,userName,,,,
accounts,FetchDiscordIdByUsername,1.090,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1.091,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1.091,R,slot,,,,
sessions,FetchUUIDFromToken,1.459,R,uuid,,,,
activeClientSessions,IsActiveSession,1.460,R,id,,,,
systemSaveData,ReadSystemSaveData,1.460,R,data,,,,
accounts,FetchPlayerCount,2.547,R,lastActivity,,,,
accounts,FetchBattleCount,2.556,R,banned,,,,
accountStats,FetchBattleCount,2.556,R,battleCount,,,,
accounts,FetchClassicSessionCount,2.565,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,2.565,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,8.476,R,uuid,,,,
activeClientSessions,UpdateActiveSession,8.477,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,8.477,R,data,,,,
sessions,FetchUUIDFromToken,27.128,R,uuid,,,,
activeClientSessions,UpdateActiveSession,27.129,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,27.129,R,data,,,,
sessions,FetchUUIDFromToken,27.300,R,uuid,,,,
activeClientSessions,UpdateActiveSession,27.301,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,27.302,R,data,,,,
sessions,FetchUUIDFromToken,27.307,R,uuid,,,,
activeClientSessions,UpdateActiveSession,27.308,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,27.308,R,data,,,,
sessions,FetchUUIDFromToken,27.309,R,uuid,,,,
activeClientSessions,UpdateActiveSession,27.310,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,27.310,R,data,,,,
sessions,FetchUUIDFromToken,29.610,R,uuid,,,,
accounts,FetchUsernameFromUUID,29.611,R,userName,,,,
accounts,FetchDiscordIdByUsername,29.611,R,discordId,,,,
accounts,FetchGoogleIdByUsername,29.612,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,29.613,R,slot,,,,
sessions,FetchUUIDFromToken,29.976,R,uuid,,,,
activeClientSessions,UpdateActiveSession,29.977,W,uuid,clientSessionId,,,
sessionSaveData,DeleteSessionSaveData,29.978,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,30.629,R,uuid,,,,
activeClientSessions,IsActiveSession,31.215,R,id,,,,
accounts,FetchTrainerIds,31.215,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,31.216,R,playtime,,,,
