Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchAccountKeySaltFromUsername,0.002,R,key,salt,,,
accounts,AddAccountSession,0.509,R,uuid,token,expire,,
sessions,AddAccountSession,0.509,W,uuid,token,expire,,
accounts,AddAccountSession,0.512,W,lastLoggedIn,,,,
sessions,FetchUUIDFromToken,0.879,R,uuid,,,,
accounts,FetchUsernameFromUUID,0.880,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.880,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.881,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.882,R,slot,,,,
sessions,FetchUUIDFromToken,1.246,R,uuid,,,,
activeClientSessions,IsActiveSession,1.247,R,id,,,,
activeClientSessions,UpdateActiveSession,1.248,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,1.249,R,data,,,,
accounts,FetchPlayerCount,6.922,R,lastActivity,,,,
accounts,FetchBattleCount,6.933,R,banned,,,,
accountStats,FetchBattleCount,6.933,R,battleCount,,,,
accounts,FetchClassicSessionCount,6.944,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,6.944,R,classicSessionPlayedCount,,,,
sessions,FetchUUIDFromToken,9.892,R,uuid,,,,
activeClientSessions,UpdateActiveSession,9.893,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,9.894,R,data,,,,
accounts,FetchPlayerCount,36.926,R,lastActivity,,,,
accounts,FetchBattleCount,36.937,R,banned,,,,
accountStats,FetchBattleCount,36.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,36.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,36.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,66.927,R,lastActivity,,,,
accounts,FetchBattleCount,66.937,R,banned,,,,
accountStats,FetchBattleCount,66.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,66.948,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,66.948,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,96.926,R,lastActivity,,,,
accounts,FetchBattleCount,96.937,R,banned,,,,
accountStats,FetchBattleCount,96.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,96.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,96.947,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,126.921,R,lastActivity,,,,
accounts,FetchBattleCount,126.932,R,banned,,,,
accountStats,FetchBattleCount,126.932,R,battleCount,,,,
accounts,FetchClassicSessionCount,126.942,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,126.942,R,classicSessionPlayedCount,,,,
accounts,FetchPlayerCount,156.926,R,lastActivity,,,,
accounts,FetchBattleCount,156.937,R,banned,,,,
accountStats,FetchBattleCount,156.937,R,battleCount,,,,
accounts,FetchClassicSessionCount,156.947,R,classicSessionPlayedCount,,,,
accountStats,FetchClassicSessionCount,156.947,R,classicSessionPlayedCount,,,,
