Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.181,R,uuid,,,,
Info,,0.181,,,,,,
accounts,FetchUsernameFromUUID,0.182,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.183,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.183,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.184,R,slot,,,,
sessions,FetchUUIDFromToken,10.512,R,uuid,,,,
activeClientSessions,IsActiveSession,10.513,R,id,,,,
activeClientSessions,UpdateActiveSession,10.515,W,uuid,clientSessionId,,,
update system,,10.515,,,,,,
accountStats,RetrievePlaytime,10.874,R,playtime,,,,
accountStats,UpdateAccountStats,10.876,W,stats,,,,
systemSaveData,StoreSystemSaveData,10.895,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,199.993,R,uuid,,,,
activeClientSessions,UpdateActiveSession,199.994,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,199.995,R,data,,,,
sessions,FetchUUIDFromToken,199.996,R,uuid,,,,
sessions,FetchUUIDFromToken,199.996,R,uuid,,,,
activeClientSessions,UpdateActiveSession,199.997,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,199.997,R,uuid,,,,
activeClientSessions,UpdateActiveSession,199.997,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,199.997,R,data,,,,
activeClientSessions,UpdateActiveSession,199.997,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,199.998,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,199.998,R,data,,,,
activeClientSessions,UpdateActiveSession,199.998,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,199.998,R,data,,,,
sessionSaveData,ReadSessionSaveData,199.998,R,data,,,,
sessions,FetchUUIDFromToken,202.339,R,uuid,,,,
updateAll,,202.339,,,,,,
activeClientSessions,IsActiveSession,202.725,R,id,,,,
accounts,FetchTrainerIds,202.726,R,trainerID,secretID,,,
accounts,UpdateTrainerIds,202.727,W,trainerID,secretID,,,
accountStats,RetrievePlaytime,202.728,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,202.729,R,data,,,,
accounts,UpdateAccountLastActivity,202.730,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,202.738,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,202.739,W,lastActivity,,,,
accountStats,UpdateAccountStats,202.740,W,stats,,,,
systemSaveData,StoreSystemSaveData,202.756,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,318.621,R,uuid,,,,
activeClientSessions,IsActiveSession,318.621,R,id,,,,
verify system,,318.621,,,,,,
sessions,FetchUUIDFromToken,342.136,R,uuid,,,,
activeClientSessions,IsActiveSession,342.137,R,id,,,,
verify system,,342.137,,,,,,
sessions,FetchUUIDFromToken,393.403,R,uuid,,,,
activeClientSessions,IsActiveSession,393.404,R,id,,,,
verify system,,393.404,,,,,,
sessions,FetchUUIDFromToken,411.741,R,uuid,,,,
activeClientSessions,IsActiveSession,411.741,R,id,,,,
verify system,,411.742,,,,,,
sessions,FetchUUIDFromToken,458.977,R,uuid,,,,
updateAll,,458.977,,,,,,
activeClientSessions,IsActiveSession,459.346,R,id,,,,
