login start!,,0.003,,,,,,
login,,0.005,,,,,,
sessions,FetchUUIDFromToken,0.640,R,uuid,,,,
activeClientSessions,IsActiveSession,0.642,R,id,,,,
activeClientSessions,UpdateActiveSession,0.644,W,uuid,clientSessionId,,,
get system,,0.644,,,,,,
systemSaveData,ReadSystemSaveData,0.645,R,data,,,,
sessions,FetchUUIDFromToken,1.888,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1.889,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1.891,R,data,,,,
sessions,FetchUUIDFromToken,2.080,R,uuid,,,,
activeClientSessions,UpdateActiveSession,2.081,W,uuid,clientSessionId,,,
clear session,,2.081,,,,,,
accounts,UpdateAccountLastActivity,2.086,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,2.088,W,sessionSaveData,,,,
sessions,RemoveSessionFromToken,2.282,W,token,,,,
logout,,2.283,,,,,,
