login start!,,0.000,,,,,,
login,,0.001,,,,,,
sessions,FetchUUIDFromToken,0.557,R,uuid,,,,
activeClientSessions,IsActiveSession,0.558,R,id,,,,
activeClientSessions,UpdateActiveSession,0.562,W,uuid,clientSessionId,,,
get system,,0.563,,,,,,
systemSaveData,ReadSystemSaveData,0.565,R,data,,,,
sessions,FetchUUIDFromToken,1.821,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1.824,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1.825,R,data,,,,
sessions,FetchUUIDFromToken,2.029,R,uuid,,,,
updateAll,,2.029,,,,,,
activeClientSessions,IsActiveSession,2.793,R,id,,,,
accounts,FetchTrainerIds,2.796,R,trainerID,secretID,,,
accounts,UpdateTrainerIds,2.800,W,trainerID,secretID,,,
accountStats,RetrievePlaytime,2.802,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,2.804,R,data,,,,
accounts,UpdateAccountLastActivity,2.808,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,2.846,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,2.847,W,lastActivity,,,,
accountStats,UpdateAccountStats,2.853,W,stats,,,,
systemSaveData,StoreSystemSaveData,2.961,W,uuid,data,timeStamp,,
sessions,RemoveSessionFromToken,3.213,W,token,,,,
logout,,3.213,,,,,,
