login start!,,0.001,,,,,,
login,,0.001,,,,,,
sessions,FetchUUIDFromToken,0.310,R,uuid,,,,
Info,,0.310,,,,,,
accounts,FetchUsernameFromUUID,0.358,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.360,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.362,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.363,R,slot,,,,
sessions,FetchUUIDFromToken,0.578,R,uuid,,,,
activeClientSessions,UpdateActiveSession,0.598,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,0.600,R,data,,,,
sessions,FetchUUIDFromToken,0.858,R,uuid,,,,
activeClientSessions,IsActiveSession,0.901,R,id,,,,
get system,,0.901,,,,,,
systemSaveData,ReadSystemSaveData,0.909,R,data,,,,
sessions,FetchUUIDFromToken,1.149,R,uuid,,,,
updateAll,,1.149,,,,,,
activeClientSessions,IsActiveSession,1.716,R,id,,,,
accounts,FetchTrainerIds,1.718,R,trainerID,secretID,,,
accounts,UpdateTrainerIds,1.721,W,trainerID,secretID,,,
accountStats,RetrievePlaytime,1.747,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1.749,R,data,,,,
accounts,UpdateAccountLastActivity,1.751,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1.791,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1.793,W,lastActivity,,,,
accountStats,UpdateAccountStats,1.796,W,stats,,,,
systemSaveData,StoreSystemSaveData,1.875,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,3.477,R,uuid,,,,
activeClientSessions,IsActiveSession,3.478,R,id,,,,
verify system,,3.478,,,,,,
sessions,FetchUUIDFromToken,3.665,R,uuid,,,,
updateAll,,3.665,,,,,,
activeClientSessions,IsActiveSession,3.732,R,id,,,,
accounts,FetchTrainerIds,3.732,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,3.733,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,3.734,R,data,,,,
accounts,UpdateAccountLastActivity,3.738,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,3.769,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,3.773,W,lastActivity,,,,
accountStats,UpdateAccountStats,3.775,W,stats,,,,
systemSaveData,StoreSystemSaveData,3.849,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,5.609,R,uuid,,,,
activeClientSessions,IsActiveSession,5.610,R,id,,,,
verify system,,5.610,,,,,,
sessions,FetchUUIDFromToken,5.799,R,uuid,,,,
updateAll,,5.799,,,,,,
activeClientSessions,IsActiveSession,5.842,R,id,,,,
accounts,FetchTrainerIds,5.843,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,5.844,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,5.844,R,data,,,,
accounts,UpdateAccountLastActivity,5.847,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,5.882,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,5.883,W,lastActivity,,,,
accountStats,UpdateAccountStats,5.884,W,stats,,,,
systemSaveData,StoreSystemSaveData,5.958,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,7.672,R,uuid,,,,
activeClientSessions,IsActiveSession,7.673,R,id,,,,
verify system,,7.673,,,,,,
sessions,FetchUUIDFromToken,7.863,R,uuid,,,,
activeClientSessions,UpdateActiveSession,7.864,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,7.865,R,data,,,,
newclear session,,7.867,,,,,,
sessions,FetchUUIDFromToken,8.052,R,uuid,,,,
updateAll,,8.052,,,,,,
activeClientSessions,IsActiveSession,8.119,R,id,,,,
accounts,FetchTrainerIds,8.120,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,8.121,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,8.122,R,data,,,,
accounts,UpdateAccountLastActivity,8.125,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,8.157,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,8.158,W,lastActivity,,,,
accountStats,UpdateAccountStats,8.159,W,stats,,,,
systemSaveData,StoreSystemSaveData,8.176,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,8.357,R,uuid,,,,
activeClientSessions,UpdateActiveSession,8.357,W,uuid,clientSessionId,,,
clear session,,8.357,,,,,,
accounts,UpdateAccountLastActivity,8.359,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,8.360,W,sessionSaveData,,,,
sessions,RemoveSessionFromToken,8.546,W,token,,,,
logout,,8.546,,,,,,
