Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.401,R,uuid,,,,
Info,,0.401,,,,,,
accounts,FetchUsernameFromUUID,0.402,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.403,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.403,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.404,R,slot,,,,
sessions,FetchUUIDFromToken,7.101,R,uuid,,,,
activeClientSessions,IsActiveSession,7.102,R,id,,,,
activeClientSessions,UpdateActiveSession,7.103,W,uuid,clientSessionId,,,
update system,,7.103,,,,,,
accountStats,RetrievePlaytime,7.703,R,playtime,,,,
accountStats,UpdateAccountStats,7.704,W,stats,,,,
systemSaveData,StoreSystemSaveData,7.713,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,111.589,R,uuid,,,,
activeClientSessions,UpdateActiveSession,111.589,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,111.590,R,data,,,,
sessions,FetchUUIDFromToken,111.768,R,uuid,,,,
sessions,FetchUUIDFromToken,111.769,R,uuid,,,,
activeClientSessions,UpdateActiveSession,111.769,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,111.769,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,111.770,R,data,,,,
sessionSaveData,ReadSessionSaveData,111.770,R,data,,,,
sessions,FetchUUIDFromToken,111.771,R,uuid,,,,
activeClientSessions,UpdateActiveSession,111.771,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,111.772,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,111.772,R,data,,,,
activeClientSessions,UpdateActiveSession,111.772,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,111.773,R,data,,,,
sessions,FetchUUIDFromToken,113.326,R,uuid,,,,
updateAll,,113.326,,,,,,
activeClientSessions,IsActiveSession,113.911,R,id,,,,
accounts,FetchTrainerIds,113.911,R,trainerID,secretID,,,
accounts,UpdateTrainerIds,113.913,W,trainerID,secretID,,,
accountStats,RetrievePlaytime,113.913,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,113.914,R,data,,,,
accounts,UpdateAccountLastActivity,113.915,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,113.920,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,113.920,W,lastActivity,,,,
accountStats,UpdateAccountStats,113.922,W,stats,,,,
systemSaveData,StoreSystemSaveData,113.931,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,180.467,R,uuid,,,,
Info,,180.467,,,,,,
accounts,FetchUsernameFromUUID,180.468,R,userName,,,,
