login start!,,0.001,,,,,,
login,,0.001,,,,,,
sessions,FetchUUIDFromToken,0.191,R,uuid,,,,
Info,,0.192,,,,,,
accounts,FetchUsernameFromUUID,0.193,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.194,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.195,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.195,R,slot,,,,
sessions,FetchUUIDFromToken,0.385,R,uuid,,,,
activeClientSessions,IsActiveSession,0.385,R,id,,,,
get system,,0.385,,,,,,
systemSaveData,ReadSystemSaveData,0.386,R,data,,,,
sessions,FetchUUIDFromToken,9.051,R,uuid,,,,
activeClientSessions,UpdateActiveSession,9.052,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,9.052,R,data,,,,
sessions,FetchUUIDFromToken,9.059,R,uuid,,,,
activeClientSessions,UpdateActiveSession,9.060,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,9.061,R,data,,,,
sessions,FetchUUIDFromToken,9.061,R,uuid,,,,
activeClientSessions,UpdateActiveSession,9.062,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,9.063,R,data,,,,
sessions,FetchUUIDFromToken,9.065,R,uuid,,,,
activeClientSessions,UpdateActiveSession,9.065,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,9.066,R,data,,,,
sessions,FetchUUIDFromToken,35.574,R,uuid,,,,
activeClientSessions,IsActiveSession,35.575,R,id,,,,
verify system,,35.575,,,,,,
sessions,FetchUUIDFromToken,49.849,R,uuid,,,,
activeClientSessions,IsActiveSession,49.850,R,id,,,,
verify system,,49.850,,,,,,
sessions,FetchUUIDFromToken,65.111,R,uuid,,,,
updateAll,,65.112,,,,,,
activeClientSessions,IsActiveSession,65.319,R,id,,,,
accounts,FetchTrainerIds,65.320,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,65.320,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,65.321,R,data,,,,
accounts,UpdateAccountLastActivity,65.324,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,65.332,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,65.333,W,lastActivity,,,,
accountStats,UpdateAccountStats,65.335,W,stats,,,,
systemSaveData,StoreSystemSaveData,65.351,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,82.700,R,uuid,,,,
activeClientSessions,IsActiveSession,82.701,R,id,,,,
verify system,,82.701,,,,,,
sessions,FetchUUIDFromToken,153.140,R,uuid,,,,
activeClientSessions,IsActiveSession,153.141,R,id,,,,
verify system,,153.141,,,,,,
sessions,FetchUUIDFromToken,167.187,R,uuid,,,,
activeClientSessions,IsActiveSession,167.187,R,id,,,,
verify system,,167.187,,,,,,
sessions,FetchUUIDFromToken,187.750,R,uuid,,,,
activeClientSessions,IsActiveSession,187.751,R,id,,,,
verify system,,187.751,,,,,,
sessions,FetchUUIDFromToken,210.817,R,uuid,,,,
updateAll,,210.817,,,,,,
activeClientSessions,IsActiveSession,210.841,R,id,,,,
