Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
login,,0.000,,,,,,
sessions,FetchUUIDFromToken,0.542,R,uuid,,,,
Info,,0.542,,,,,,
accounts,FetchUsernameFromUUID,0.542,R,userName,,,,
accounts,FetchDiscordIdByUsername,0.543,R,discordId,,,,
accounts,FetchGoogleIdByUsername,0.544,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,0.545,R,slot,,,,
sessions,FetchUUIDFromToken,6.502,R,uuid,,,,
activeClientSessions,IsActiveSession,6.503,R,id,,,,
activeClientSessions,UpdateActiveSession,6.504,W,uuid,clientSessionId,,,
update system,,6.504,,,,,,
accountStats,RetrievePlaytime,7.222,R,playtime,,,,
accountStats,UpdateAccountStats,7.224,W,stats,,,,
systemSaveData,StoreSystemSaveData,7.232,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,35.502,R,uuid,,,,
Info,,35.502,,,,,,
accounts,FetchUsernameFromUUID,35.503,R,userName,,,,
accounts,FetchDiscordIdByUsername,35.504,R,discordId,,,,
accounts,FetchGoogleIdByUsername,35.505,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,35.505,R,slot,,,,
sessions,FetchUUIDFromToken,36.065,R,uuid,,,,
activeClientSessions,IsActiveSession,36.066,R,id,,,,
get system,,36.066,,,,,,
activeClientSessions,UpdateActiveSession,36.068,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,36.068,R,data,,,,
sessions,FetchUUIDFromToken,117.116,R,uuid,,,,
activeClientSessions,UpdateActiveSession,117.117,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,117.119,R,data,,,,
sessions,FetchUUIDFromToken,117.292,R,uuid,,,,
activeClientSessions,UpdateActiveSession,117.293,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,117.294,R,data,,,,
sessions,FetchUUIDFromToken,117.294,R,uuid,,,,
activeClientSessions,UpdateActiveSession,117.295,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,117.295,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,117.296,R,data,,,,
activeClientSessions,UpdateActiveSession,117.296,W,uuid,clientSessionId,,,
